25 115277
50 119259
75 120059
100 122222
125 123809
150 127491
175 129345
200 131590
225 132485
250 134467
275 136340
300 138620
325 140082
350 141270
375 142131
400 145122
425 146052
450 149399
475 149858
500 149790
525 153851
550 154650
575 157203
600 159186
625 160688
650 159844
675 163588
700 163132
725 166662
750 166843
775 165668
800 170135
825 172059
850 172978
875 174245
900 175438
925 176888
950 178181
975 179943
1000 179941
1025 180417
1050 180975
1075 181330
1100 170340
1125 175162
1150 178983
1175 170062
1200 179062
1225 180298
1250 175990
1275 184107
1300 183949
1325 185177
1350 183793
1375 184535
1400 184463
1425 185012
1450 184724
1475 183063
