25 16848
50 17306
75 17849
100 18249
125 18788
150 19265
175 19854
200 20397
225 20848
250 21603
275 22081
300 22824
325 23104
350 23504
375 23979
400 25044
425 25540
450 25941
475 26264
500 26809
525 27381
550 28124
575 28485
600 29122
625 29585
650 29848
675 30661
700 30953
725 31618
750 31587
775 31877
800 32658
825 33120
850 33019
875 34199
900 34633
925 34606
950 34997
975 35456
1000 35832
1025 35898
1050 36045
1075 36233
1100 36514
1125 37116
1150 37061
1175 37459
1200 38031
1225 37629
1250 37778
1275 37963
1300 38219
1325 38423
1350 38610
1375 38648
1400 38904
1425 38927
1450 39056
1475 39274
